company,ipo,founding
PSYCH SYSTEMS,19820923,1977
GENEX CORP,19820929,1977
ON LINE SOFTWARE,19820929,1969
BIOMET INC,19821001,1977
TANO CORP,19821007,1961
GOTT CORP,19821015,1916
INTECOM INC,19821019,1980
SIZZLER RESTAURANTS,19821026,1967
MERRIMAC INDUSTRIES,19821029,1954
SYSTEMS & COMPUTERS,19821102,1968
AARON RENTS,19821104,1962
ALTOS COMPUTERS,19821104,1977
TACO VIVA,19821116,1968
LEE DATA,19821118,1979
TRIANGLE MICROWAVE,19821126,1977
AREA COMMUNICATION,19821129,1971
PATIENT TECH,19821201,1981
QUALITY SYSTEMS,19821201,1974
ARGOSYSTEMS,19821202,1969
PAR TECHNOLOGY,19821203,1968
DIONEX CORP,19821207,1968
RAYMOND ENGINEERING,19821207,1938
UNITED ED AND SFTWRE,19821207,1967
HOGAN SYSTEMS,19821210,1977
QUANTUM CORP,19821210,1980
CENTOCOR INC,19821214,1979
GD RITZY'S,19821214,1979
NEWAIR FLIGHT,19821214,1962
GENERAL PHYSICS,19821216,1966
PERCEPTRONICS,19821216,1969
FN FINANCIA,19821217,1959
HARRIS & PAULSON,19821217,1977
PHARMACONTROL,19821221,1979
SIGMA RESEARCH,19821221,1974
BIOSTIM,19821222,1979
MGM/UA HOME ENTER,19821222,1982
PHOENIX AMERICAN,19821222,1972
LASER PHOTONICS,19830105,1980
MED-CHEM PRODUCTS,19830111,1970
QUALITY MICRO SYSTEMS,19830113,1977
MID-STATE FEDERAL,19830120,1934
POREX TECHNOLOGY,19830120,1961
"COOPERVISION, INC.",19830121,1972
"ROYALE AIRLINES, INC.",19830126,1969
POLYMERIC RESOURCES,19830127,1982
COOK DATA SERVICES,19830201,1979
GALILEO ELECTRO-OPTIC,19830201,1959
GUILFORD INDUSTRIES,19830202,1975
"U.S. TELEPHONE, INC.",19830202,1979
United States HEALTH CARE,19830209,1976
DIGITAL COMMUNICATIONS,19830210,1972
REHAB HOSPITAL SERVICE,19830210,1979
ACCO WORLD CORPORATION,19830211,1903
FORTUNE FEDERAL,19830215,1934
SILICON VALLEY GROUP,19830216,1973
TIME ENERGY SYSTEMS,19830218,1980
URGENT CARE CENTERS,19830218,1982
CALIBRE CORPORATION,19830223,1981
"DIASONICS, INC.",19830223,1977
AMERICAN SOFTWARE,19830224,1970
DOUBLE R FAST FOOD,19830224,1980
FIRST FEDERAL,19830224,1983
FIRST MUTUAL,19830224,1952
TRANS WORLD AIRLINES,19830224,1978
VIDEO CONNECTION,19830224,1979
VLSI TECHNOLOGY,19830224,1979
AMERICA WEST AIR,19830225,1981
AUTOMATIX INCORPORATED,19830301,1980
BURNHAM SERVICE,19830301,1921
XEBEC,19830301,1974
"THE MPSI GROUP, INC.",19830302,1970
APOLLO COMPUTER,19830303,1980
FORTUNE SYSTEMS,19830304,1980
INFORMATION RESOURCES,19830304,1977
NEW HAMPSHIRE SAVINGS,19830304,1982
INT'L LEASE FINANCE,19830309,1973
CONTINENTAL FEDERAL,19830310,1901
"FLOW SYSTEMS, INC.",19830310,1974
WASHINGTON MUTUAL,19830311,1901
PENTA SYSTEMS,19830315,1981
TELEVIDEO SYSTEMS,19830315,1976
BR COMMUNICATIONS,19830316,1966
DST SYSTEMS,19830316,1968
SCAN-TRON CORP.,19830316,1972
SOVEREIGN THOROBRED.,19830316,1981
COM VU CORPORATION,19830317,1980
MAXWELL LABORATORIES,19830318,1965
"BIOGEN, N.V.",19830322,1978
SCI. SYSTEMS SERVICE,19830322,1965
"SENTRY DATA, INC.",19830322,1980
TELECRAFTER CORP.,19830322,1977
INTEGRATED SOFTWARE,19830323,1970
VICTOR TECHNOLOGIES,19830323,1980
BURR-BROWN CORPORATION,19830324,1956
"FARM FRESH, INC.",19830325,1974
MASSTOR SYSTEMS,19830325,1976
BIOTECHNICA INT'L.,19830328,1981
WINCOM CORPORATION,19830328,1978
CALIFORNIA FEDERAL,19830329,1925
FIRST FINANCIAL MGMT.,19830329,1971
HOME FEDERAL OF TUCSON,19830329,1937
PUBLISHERS EQUIPMENT,19830329,1979
HOME FED. SAN DIEGO,19830330,1934
CAMBRIDGE BIOSCIENCE,19830331,1981
MOBILE COMMUNICATIONS,19830331,1965
DATRICON CORP.,19830404,1979
DEVON STORES,19830405,1979
